序号,输入原始分辨率,MIN_FOREGROUND_RATIO,HEALTHY_PTERYGIUM_PATCH_RATIO,加权采样,patch分辨率,模型,注意力,损失函数,深度监督权重,BackBone,输入patching数据病灶相关度,数据增强,dropout,后处理,优化器,学习率调度器,学习率,Epoch,weight_decay,patience,BachSize,本地val集，patch级别dice,本地val集，全图级别dice（后处理前）,官方测试集 Dice,官方测试集 HD95%,备注
1,5184*3456,0.01,0,,512*512,Unet,,BCE=0.6+Dice=0.4,None,ResNet18,相关 0.01,仅水平翻转,无,无,adam,CosineAnnealingLR T_max=30,1.00E-03,30,1.00E-05,7,8,,,0.4199,27153.915,
2,5184*3456,0,1,,512*512,Unet,,BCE=0.6+Dice=0.4,None,ResNet18,不相关,仅水平翻转,仅瓶颈层 0.4,级联模型1+最大连通域,adam,CosineAnnealingLR T_max=30,1.00E-03,30,1.00E-05,7,40,,,,,未运行完，耗时过长，始终无法收敛
3,5184*3456,0.01,0,,512*512,Unet,,BCE=0.6+Dice=0.4,None,ResNet18,相关 0.01,仅水平翻转,仅瓶颈层 0.4,级联模型1+最大连通域,adam,CosineAnnealingLR T_max=30,1.00E-03,30,1.00E-05,7,40,0.8812,,0.7742,4387.8467,训练耗时: 9419.20 秒
4,5184*3456,0.01,0,,512*512,Unet,,BCE=0.6+Dice=0.4,None,ResNet18,相关 0.01,albumentations,仅瓶颈层 0.5,级联模型1+开运算+最大连通域+闭运算,adamw,CosineAnnealingLR T_max=30,5.00E-04,30,7.00E-05,7,40,0.897,,0.8568,2065.45,总训练耗时: 12724.57 秒
5,5184*3456,0.01,0,,512*512,Unet3+,,BCE=0.6+Dice=0.4,"[0.4, 0.3, 0.2, 0.1]",ResNet18,相关 0.01,albumentations,仅瓶颈层 0.5,级联模型1+开运算+最大连通域+闭运算,adamw,CosineAnnealingLR T_max=30,5.00E-04,30,7.00E-05,7,40,0.9024,,,,服务器故障，保存失败。总训练耗时: 16562.35 秒
6,5184*3456,0.01,0,,512*512,Unet3+,,BCE=0.6+Dice=0.4,"[0.4, 0.3, 0.2, 0.1]",ResNet18,相关 0.01,albumentations,仅瓶颈层 0.5,级联模型1+开运算+最大连通域+闭运算,adamw,CosineAnnealingLR T_max=30,5.00E-04,30,7.00E-05,7,40,0.9027,,0.77,4258.3813,总训练耗时: 23135.24 秒
7,5184*3456,0.01,0,,512*512,Unet,Yes,BCE=0.6+Dice=0.4,None,ResNet18,相关 0.01,albumentations,仅瓶颈层 0.5,级联模型1+开运算+最大连通域+闭运算,adamw,CosineAnnealingLR T_max=30,5.00E-04,30,7.00E-05,7,40,0.8595,,,,"早停,总训练耗时: 8298.52 秒"
8,5184*3456,0.01,0,,512*512,Unet,,BCE=0.6+Dice=0.4+Boundary=0.01,None,ResNet18,相关 0.01,albumentations,仅瓶颈层 0.5,级联模型1+开运算+最大连通域+闭运算,adamw,CosineAnnealingLR T_max=30,5.00E-04,30,7.00E-05,7,40,0.8952,,0.8057,2833.2467,"早停,总训练耗时: 18478.70 秒"
9,5184*3456,0.01,0,,512*512,DeepLabV3,,BCE=0.6+Dice=0.4,None,ResNet50(预训练),相关 0.01,albumentations,仅瓶颈层 0.5,级联模型1+开运算+最大连通域+闭运算,adamw,CosineAnnealingLR T_max=30,5.00E-04,4,7.00E-05,7,26,0.85,,0.7329,5164.6757,GPU时间不足，只计算4Epoch
10,5184*3456,0.01,0,,256*256,DeepLabV3,,BCE=0.6+Dice=0.4,None,ResNet50(预训练),相关 0.01,albumentations,仅瓶颈层 0.5,级联模型1+开运算+最大连通域+闭运算,adamw,CosineAnnealingLR T_max=30,5.00E-04,7,7.00E-05,7,26,0.9305,,,,
11,5184*3456,0,0,,256*256,Unet,,BCE=0.6+Dice=0.4,None,ResNet18,相关 0.01,albumentations,仅瓶颈层 0.5,级联模型1+开运算+最大连通域+闭运算,adamw,CosineAnnealingLR T_max=30,5.00E-04,26,7.00E-05,7,40,0.5879,,,,
12,5184*3456,0,0.2,,256*256,Unet,,BCE=0.6+Dice=0.4,None,ResNet18,相关 0.01,albumentations,仅瓶颈层 0.5,级联模型1+开运算+最大连通域+闭运算,adamw,CosineAnnealingLR T_max=30,5.00E-04,19,7.00E-05,7,40,0.5691,,,,
13,5184*3456,0.01,1.3,Yes,256*256,Unet,,BCE=0.6+Dice=0.4,None,ResNet18,相关 0.01,albumentations,仅瓶颈层 0.5,级联模型1+开运算+最大连通域+闭运算,adamw,CosineAnnealingLR T_max=30,5.00E-04,21,7.00E-05,7,140,0.9492,0.5247,,,
14,5184*3456,0,0,Yes,512*512,Unet,,BCE=0.6+Dice=0.4,None,ResNet18,相关 0.01,albumentations,仅瓶颈层 0.5,级联模型1+开运算+最大连通域+闭运算,adamw,CosineAnnealingLR T_max=30,5.00E-04,25,7.00E-05,7,36,0.679,0.8659,0.8687,2087.2593,早就改用加权采样了，之前用后处理取巧的方法，得到高dice反而进入误区
15,1296*864,0,0,Yes,256*256,Unet,,BCE=0.6+Dice=0.4,None,ResNet18,相关 0.01,albumentations,仅瓶颈层 0.5,级联模型1+开运算+最大连通域+闭运算,adamw,CosineAnnealingLR T_max=30,5.00E-04,25,7.00E-05,7,36,,,,,
